# STN,YYYYMMDD,   RH, EV24
# 
  348,20020525,   12,   28
  348,20020526,    9,   19
  348,20020527,   22,   30
  348,20020528,   -1,   35
  348,20020529,    9,   29
  348,20020530,    0,   30
  348,20020531,    0,   36
  348,20020601,    0,   48
  348,20020602,    0,   48
  348,20020603,   31,   30
  348,20020604,   56,   36
  348,20020605,    8,   14
  348,20020606,    0,   30
  348,20020607,    1,   26
  348,20020608,    0,   41
  348,20020609,   32,   36
  348,20020610,   75,   17
  348,20020611,   15,   29
  348,20020612,  147,   22
  348,20020613,    9,   14
  348,20020614,   60,   28
  348,20020615,    0,   35
  348,20020616,   10,   25
  348,20020617,    0,   54
  348,20020618,   58,   42
  348,20020619,    0,   42
  348,20020620,  277,    9
  348,20020621,    0,   31
  348,20020622,    4,   31
  348,20020623,    0,   45
  348,20020624,    0,   51
  348,20020625,    0,   35
  348,20020626,    0,   40
  348,20020627,    0,   41
  348,20020628,   15,   19
  348,20020629,    0,   42
  348,20020630,    0,   21
  348,20020701,   90,    7
  348,20020702,   34,   25
  348,20020703,  142,    9
  348,20020704,   32,   37
  348,20020705,    2,   19
  348,20020706,    1,   18
  348,20020707,    2,   18
  348,20020708,    0,   36
  348,20020709,   11,   24
  348,20020710,    7,   11
  348,20020711,    0,   35
  348,20020712,    1,   24
  348,20020713,   52,   21
  348,20020714,    0,   30
  348,20020715,    0,   44
  348,20020716,    0,   45
  348,20020717,    0,   41
  348,20020718,    0,   39
  348,20020719,    0,   16
  348,20020720,   92,   37
  348,20020721,   17,   27
  348,20020722,    0,   35
  348,20020723,   28,   16
  348,20020724,   35,   30
  348,20020725,    6,   34
  348,20020726,    6,   35
  348,20020727,    0,   44
  348,20020728,    0,   49
  348,20020729,    0,   49
  348,20020730,   12,   47
  348,20020731,   -1,   30
  348,20020801,   81,   13
  348,20020802,    0,   41
  348,20020803,   67,   16
  348,20020804,   22,   29
  348,20020805,   52,   20
  348,20020806,  107,   24
  348,20020807,    5,   29
  348,20020808,    0,   30
  348,20020809,   16,   28
  348,20020810,    2,   22
  348,20020811,    0,   29
  348,20020812,    0,   29
  348,20020813,    0,   38
  348,20020814,    0,   30
  348,20020815,    0,   41
  348,20020816,    0,   42
  348,20020817,    0,   43
  348,20020818,    0,   41
  348,20020819,   51,   27
  348,20020820,  248,   10
  348,20020821,   31,    9
  348,20020822,   -1,   18
  348,20020823,    0,   18
  348,20020824,  339,    6
  348,20020825,    0,   31
  348,20020826,    0,   30
  348,20020827,    0,   23
  348,20020828,    0,   31
  348,20020829,    0,   30
  348,20020830,    0,   16
  348,20020831,    2,   20
  348,20020901,    0,   26
  348,20020902,    0,   31
  348,20020903,   48,   30
  348,20020904,    0,   31
  348,20020905,    0,   27
  348,20020906,    0,   18
  348,20020907,  201,   18
  348,20020908,   80,   17
  348,20020909,   -1,   22
  348,20020910,    0,   10
  348,20020911,    8,   16
  348,20020912,    0,   32
  348,20020913,    0,   29
  348,20020914,    0,   13
  348,20020915,    0,   28
  348,20020916,    0,   17
  348,20020917,    0,    9
  348,20020918,    0,   11
  348,20020919,    0,    9
  348,20020920,    0,   14
  348,20020921,   18,   10
  348,20020922,   84,   19
  348,20020923,    0,   24
  348,20020924,    0,   24
  348,20020925,   34,   14
  348,20020926,   58,   13
  348,20020927,    0,   14
  348,20020928,    4,   11
  348,20020929,    0,   18
  348,20020930,    0,   22
  348,20021001,    0,   18
  348,20021002,    0,   14
  348,20021003,   42,    6
  348,20021004,   -1,   17
  348,20021005,   83,    4
  348,20021006,   12,   15
  348,20021007,  101,   10
  348,20021008,    0,   17
  348,20021009,    0,   18
  348,20021010,    0,   16
  348,20021011,    0,   15
  348,20021012,    0,    5
  348,20021013,    2,    5
  348,20021014,   77,    2
  348,20021015,    1,    4
  348,20021016,    7,    6
  348,20021017,    8,   12
  348,20021018,   72,    7
  348,20021019,   65,    7
  348,20021020,   26,    9
  348,20021021,   14,    4
  348,20021022,   24,    6
  348,20021023,   27,    6
  348,20021024,    3,   11
  348,20021025,  105,    4
  348,20021026,   16,    6
  348,20021027,  111,    5
  348,20021028,    0,   11
  348,20021029,   20,    3
  348,20021030,   14,   10
  348,20021031,    0,    9
  348,20021101,   43,    3
  348,20021102,   43,   10
  348,20021103,  105,    9
  348,20021104,   20,    8
